172	Wizard Rosary	UNK
173	Makyou Rosary	UNK
174	Expedite Ring	VAL
175	Petra Genetrix	VAL
176	Khamrai Tao	VAL
177	Hua Khon	VAL
178	Daffodils	VAL
179	Legion's Jail	VAL
180	Thunder Band	VAL
181	Shackles	VAL
182	Vayu's Wrath	UNK
183	Regent	VAL
184	Queen's Necklace	VAL
185	Stone of Scone	VAL
186	Koh-i-Noor	VAL
187	Orlov	VAL
188	Emperor's Amulet	VAL
189	Hope Diamond	VAL
190	Crystal Skull	VAL
191	0x0BF	FLR
192	Miyuki's Earring	UNK
193	Harumi's Earring	UNK
194	Marronnier's Earring	UNK
195	Thief Mask	VAL
196	Black Rock	VAL
197	0x0C5	FLR
198	Vulcan Band	UNK
199	Neptune Band	UNK
200	Aquilo Band	UNK
201	Jupiter Band	UNK
202	Janus Band	UNK
203	Minerva Band	UNK
204	Venus Band	UNK
205	Pluto Band	UNK
206	Hades Harp	DLC*
207	Menehune Dolls	HAW
208	Hawaiian Ring	HAW
209	Forneus Badge	VAL
210	Train Badge	VAL
211	PI Badge	VAL
212	Punch Badge	VAL
213	Betting Badge	VAL
214	Golf Badge	VAL
215	Tough Belt	VAL
216	Dandy Mirror	VAL
217	Leblanc Charm	VAL
218	Boss Undies	VAL
219	2nd Mate Badge	VAL
220	1st Mate Badge	VAL
221	Captain Badge	VAL
222	Regen Patch 1	VAL
223	Regen Patch 2	VAL
224	Regen Patch 3	VAL
225	SP Adhesive 1	VAL
226	SP Adhesive 2	VAL
227	SP Adhesive 3	VAL
228	Hot Compress	VAL
229	Grudge Gauze	VAL
230	Thought Gauze	VAL
231	Savage Band	UNK
232	Omnipotent Orb	VAL
233	Divine Pillar	VAL
234	Darkness Ring	DLC*
235	White Headband	DLC*
236	Attachment Pearl	VAL
237	Black Headband	DLC*
238	Red Yarn Ball	DLC*
239	Thunder Horns	DLC*
240	Black Moon	DLC*
241	Holy Stone	UNK
242	Team Glasses	VAL
243	SEES Armband	VAL
244	Sevens Emblem	VAL
245	Hermelin Badge	VAL
246	Arm PC	VAL
247	Midnight Bandana	VAL
248	Evoker	VAL
249	Honu Charm	HAW
250	Tiki Keychain	HAW
251	Beast Headphones	UNK
252	Babel Headphones	UNK
253	Lambs' Pillow	VAL
254	Gauntlet	VAL
255	Kuzunoha Tubes	VAL
